run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,60,0.76,0.3,13,21.67,0,0.7,100.0,0.0002
2,10,60,0.76,0.3,60,100.0,1,0.7,100.0,0.0002
3,10,60,0.76,0.3,10,16.67,0,0.7,100.0,0.0002
4,10,60,0.76,0.3,8,13.33,1,0.7,100.0,0.0002
5,10,60,0.76,0.3,6,10.0,0,0.7,100.0,0.0002
6,10,60,0.76,0.3,10,16.67,0,0.7,100.0,0.0002
7,10,60,0.76,0.3,6,10.0,0,0.7,100.0,0.0002
8,10,60,0.76,0.3,9,15.0,0,0.7,100.0,0.0002
9,10,60,0.76,0.3,4,6.67,0,0.7,100.0,0.0002
10,10,60,0.76,0.3,9,15.0,0,0.7,100.0,0.0002
11,10,60,0.76,0.3,3,5.0,0,0.7,100.0,0.0001
12,10,60,0.76,0.3,15,25.0,0,0.7,100.0,0.0002
13,10,60,0.76,0.3,7,11.67,0,0.7,100.0,0.0002
14,10,60,0.76,0.3,8,13.33,0,0.7,100.0,0.0002
15,10,60,0.76,0.3,7,11.67,0,0.7,100.0,0.0001
16,10,60,0.76,0.3,4,6.67,0,0.7,100.0,0.0002
17,10,60,0.76,0.3,9,15.0,1,0.7,100.0,0.0002
18,10,60,0.76,0.3,9,15.0,1,0.7,100.0,0.0002
19,10,60,0.76,0.3,12,20.0,0,0.7,100.0,0.0002
20,10,60,0.76,0.3,9,15.0,0,0.7,100.0,0.0002
21,10,60,0.76,0.3,4,6.67,0,0.7,100.0,0.0001
22,10,60,0.76,0.3,2,3.33,0,0.7,100.0,0.0002
23,10,60,0.76,0.3,9,15.0,1,0.7,100.0,0.0002
24,10,60,0.76,0.3,9,15.0,0,0.7,100.0,0.0002
25,10,60,0.76,0.3,12,20.0,0,0.7,100.0,0.0002
26,10,60,0.76,0.3,8,13.33,0,0.7,100.0,0.0002
27,10,60,0.76,0.3,16,26.67,0,0.7,100.0,0.0002
28,10,60,0.76,0.3,6,10.0,0,0.7,100.0,0.0001
29,10,60,0.76,0.3,8,13.33,0,0.7,100.0,0.0002
30,10,60,0.76,0.3,4,6.67,0,0.7,100.0,0.0002
