run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
2,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
3,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
4,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0002
5,10,100,0.8,0.4,13,13.0,0,0.7,100.0,0.0002
6,10,100,0.8,0.4,12,12.0,0,0.7,100.0,0.0002
7,10,100,0.8,0.4,98,98.0,1,0.7,100.0,0.0002
8,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
9,10,100,0.8,0.4,15,15.0,0,0.7,100.0,0.0002
10,10,100,0.8,0.4,99,99.0,1,0.7,100.0,0.0003
11,10,100,0.8,0.4,10,10.0,1,0.7,100.0,0.0003
12,10,100,0.8,0.4,99,99.0,1,0.7,100.0,0.0003
13,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
14,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
15,10,100,0.8,0.4,9,9.0,0,0.7,100.0,0.0003
16,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
17,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
18,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
19,10,100,0.8,0.4,10,10.0,0,0.7,100.0,0.0003
20,10,100,0.8,0.4,19,19.0,0,0.7,100.0,0.0003
21,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
22,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
23,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
24,10,100,0.8,0.4,13,13.0,0,0.7,100.0,0.0003
25,10,100,0.8,0.4,99,99.0,1,0.7,100.0,0.0003
26,10,100,0.8,0.4,97,97.0,1,0.7,100.0,0.0003
27,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
28,10,100,0.8,0.4,17,17.0,1,0.7,100.0,0.0003
29,10,100,0.8,0.4,99,99.0,1,0.7,100.0,0.0003
30,10,100,0.8,0.4,100,100.0,1,0.7,100.0,0.0003
