run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0003
2,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0003
3,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
4,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
5,10,100,0.78,0.4,18,18.0,0,0.7,100.0,0.0002
6,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
7,10,100,0.78,0.4,98,98.0,1,0.7,100.0,0.0002
8,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
9,10,100,0.78,0.4,20,20.0,0,0.7,100.0,0.0002
10,10,100,0.78,0.4,99,99.0,1,0.7,100.0,0.0003
11,10,100,0.78,0.4,11,11.0,1,0.7,100.0,0.0002
12,10,100,0.78,0.4,99,99.0,1,0.7,100.0,0.0003
13,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0003
14,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0003
15,10,100,0.78,0.4,14,14.0,0,0.7,100.0,0.0002
16,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
17,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
18,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
19,10,100,0.78,0.4,14,14.0,1,0.7,100.0,0.0002
20,10,100,0.78,0.4,98,98.0,1,0.7,100.0,0.0002
21,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0003
22,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
23,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
24,10,100,0.78,0.4,99,99.0,1,0.7,100.0,0.0003
25,10,100,0.78,0.4,99,99.0,1,0.7,100.0,0.0002
26,10,100,0.78,0.4,97,97.0,1,0.7,100.0,0.0002
27,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0002
28,10,100,0.78,0.4,20,20.0,1,0.7,100.0,0.0002
29,10,100,0.78,0.4,99,99.0,1,0.7,100.0,0.0002
30,10,100,0.78,0.4,100,100.0,1,0.7,100.0,0.0003
