run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
2,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
3,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
4,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
5,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
6,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
7,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
8,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
9,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
10,10,100,0.7,0.4,98,98.0,1,0.7,100.0,0.0002
11,10,100,0.7,0.4,26,26.0,1,0.7,100.0,0.0002
12,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
13,10,100,0.7,0.4,99,99.0,1,0.7,100.0,0.0002
14,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
15,10,100,0.7,0.4,99,99.0,1,0.7,100.0,0.0002
16,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
17,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
18,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
19,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
20,10,100,0.7,0.4,97,97.0,1,0.7,100.0,0.0003
21,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
22,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
23,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
24,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
25,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
26,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
27,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
28,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0003
29,10,100,0.7,0.4,99,99.0,1,0.7,100.0,0.0002
30,10,100,0.7,0.4,100,100.0,1,0.7,100.0,0.0002
