run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,100,0.746,0.3,17,17.0,0,0.7,100.0,0.0003
2,10,100,0.746,0.3,17,17.0,0,0.7,100.0,0.0003
3,10,100,0.746,0.3,9,9.0,0,0.7,100.0,0.0003
4,10,100,0.746,0.3,24,24.0,0,0.7,100.0,0.0003
5,10,100,0.746,0.3,15,15.0,0,0.7,100.0,0.0003
6,10,100,0.746,0.3,14,14.0,0,0.7,100.0,0.0002
7,10,100,0.746,0.3,10,10.0,0,0.7,100.0,0.0003
8,10,100,0.746,0.3,15,15.0,0,0.7,100.0,0.0002
9,10,100,0.746,0.3,14,14.0,0,0.7,100.0,0.0003
10,10,100,0.746,0.3,9,9.0,0,0.7,100.0,0.0002
11,10,100,0.746,0.3,7,7.0,0,0.7,100.0,0.0002
12,10,100,0.746,0.3,12,12.0,0,0.7,100.0,0.0003
13,10,100,0.746,0.3,15,15.0,1,0.7,100.0,0.0003
14,10,100,0.746,0.3,6,6.0,0,0.7,100.0,0.0002
15,10,100,0.746,0.3,16,16.0,0,0.7,100.0,0.0003
16,10,100,0.746,0.3,14,14.0,0,0.7,100.0,0.0003
17,10,100,0.746,0.3,100,100.0,1,0.7,100.0,0.0003
18,10,100,0.746,0.3,18,18.0,0,0.7,100.0,0.0002
19,10,100,0.746,0.3,8,8.0,0,0.7,100.0,0.0003
20,10,100,0.746,0.3,7,7.0,0,0.7,100.0,0.0003
21,10,100,0.746,0.3,13,13.0,1,0.7,100.0,0.0002
22,10,100,0.746,0.3,19,19.0,1,0.7,100.0,0.0003
23,10,100,0.746,0.3,93,93.0,1,0.7,100.0,0.0003
24,10,100,0.746,0.3,17,17.0,0,0.7,100.0,0.0002
25,10,100,0.746,0.3,22,22.0,0,0.7,100.0,0.0002
26,10,100,0.746,0.3,15,15.0,0,0.7,100.0,0.0002
27,10,100,0.746,0.3,15,15.0,0,0.7,100.0,0.0002
28,10,100,0.746,0.3,14,14.0,0,0.7,100.0,0.0003
29,10,100,0.746,0.3,15,15.0,0,0.7,100.0,0.0002
30,10,100,0.746,0.3,100,100.0,1,0.7,100.0,0.0002
